Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,16,ville,city
17,17,parlé,speak
18,18,arrivé,come
19,19,devrait,should
21,21,longtemps,long time
22,22,heures,hours
23,23,pendant,while
24,24,aucune,any
25,25,place,square
26,26,parle,speak
27,27,compris,understood
29,29,étaient,were
30,30,attention,Warning
31,31,voici,here is
32,32,pourrais,could
33,33,affaire,case
34,34,donner,give
35,35,type,type
36,36,donné,given
37,37,train,train
38,38,corps,body
39,39,endroit,place
40,40,yeux,eyes
41,41,façon,way
42,42,écoute,listen
43,43,dont,whose
44,44,trouve,find
45,45,premier,first
46,46,perdu,lost
47,47,main,hand
48,48,première,first
49,49,côté,side
50,50,pouvoir,power
51,51,vieux,old
52,52,sois,be
53,53,tiens,here
54,54,matin,morning
55,55,tellement,so much
56,56,enfant,child
57,57,point,point
58,58,venu,came
59,59,suite,after
60,60,pardon,sorry
61,61,venez,come
62,62,devant,in front of
63,63,vers,towards
64,65,demandé,request
65,67,mis,placed
66,68,belle,beautiful
67,69,droit,law
68,70,aimerais,would like to
69,71,aujourd'hui,today
71,73,cause,cause
72,75,espère,hope
73,76,eau,water
74,77,attendez,Wait
76,79,nouvelle,new
77,80,boulot,job
78,81,arrêter,Stop
79,82,dirait,would say
80,83,terre,Earth
81,84,compte,account
82,85,donne,given
83,86,loin,far
84,87,fin,end
85,88,croire,believe
86,89,chérie,sweetheart
87,90,gros,large
88,91,plutôt,rather
89,92,aura,will have
90,93,filles,girls
91,94,jouer,to play
